"release_date","time","actual","forecast","previous"
"30-06-2026","21:30","","","-0.765M"
"23-06-2026","21:30","-0.765M","","-8.330M"
"16-06-2026","21:30","-8.330M","-4.500M","-9.119M"
"09-06-2026","21:30","-9.119M","-3.400M","-6.750M"
"02-06-2026","22:00","-6.750M","-3.600M","-2.800M"
"27-05-2026","21:30","-2.800M","","-9.100M"
"19-05-2026","21:30","-9.100M","-3.400M","-2.188M"
"12-05-2026","21:30","-2.188M","-1.650M","-8.100M"
"05-05-2026","21:30","-8.100M","-2.800M","-1.790M"
"28-04-2026","21:30","-1.790M","0.300M","-4.400M"
"21-04-2026","21:30","-4.400M","-1.000M","6.100M"
"14-04-2026","21:30","6.100M","-1.300M","3.719M"
"07-04-2026","21:30","3.719M","","10.263M"
"31-03-2026","21:30","10.263M","-1.300M","2.300M"
"24-03-2026","20:30","2.300M","-1.300M","6.600M"
"17-03-2026","20:30","6.600M","-0.600M","-1.700M"
"10-03-2026","20:30","-1.700M","1.400M","5.600M"
"03-03-2026","21:30","5.600M","2.200M","11.400M"
"24-02-2026","21:30","11.400M","1.850M","-0.609M"
"18-02-2026","21:30","-0.609M","","13.400M"
"10-02-2026","21:30","13.400M","","-11.100M"
"03-02-2026","21:30","-11.100M","0.700M","-0.247M"
"27-01-2026","21:30","-0.247M","1.450M","3.040M"
"21-01-2026","21:30","3.040M","","5.270M"
"13-01-2026","21:30","5.270M","-2.000M","-2.800M"
"06-01-2026","21:30","-2.800M","1.200M","1.700M"
"30-12-2025","21:30","1.700M","","2.400M"
"23-12-2025","21:30","2.400M","","-9.300M"
"16-12-2025","21:30","-9.300M","-2.200M","-4.800M"
"09-12-2025","21:30","-4.800M","-1.700M","-2.480M"
"02-12-2025","21:30","-2.480M","","-1.900M"
"25-11-2025","22:30","-1.900M","","4.400M"
"18-11-2025","21:30","4.400M","","1.300M"
"12-11-2025","21:30","1.300M","1.700M","6.500M"
"04-11-2025","21:30","6.500M","-2.400M","-4.000M"
"28-10-2025","20:30","-4.000M","-2.900M","-2.980M"
"21-10-2025","21:30","-2.980M","","3.524M"
"16-10-2025","18:00","3.524M","0.120M","2.780M"
"07-10-2025","21:30","2.780M","2.250M","-3.674M"
"30-09-2025","21:30","-3.674M","","-3.821M"
"23-09-2025","21:30","-3.821M","","-3.420M"
"16-09-2025","21:30","-3.420M","-1.600M","1.250M"
"09-09-2025","21:30","1.250M","","0.622M"
"03-09-2025","21:30","0.622M","-3.400M","-0.974M"
"26-08-2025","21:30","-0.974M","-1.700M","-2.400M"
"19-08-2025","21:30","-2.400M","-1.200M","1.500M"
"12-08-2025","21:30","1.500M","-0.800M","-4.200M"
"05-08-2025","21:30","-4.200M","-1.800M","1.539M"
"29-07-2025","21:30","1.539M","-2.500M","-0.577M"
"22-07-2025","21:30","-0.577M","","19.100M"
"15-07-2025","21:30","19.100M","-2.000M","7.100M"
"08-07-2025","21:30","7.100M","-2.800M","0.680M"
"01-07-2025","21:30","0.680M","-2.260M","-4.277M"
"24-06-2025","21:30","-4.277M","-0.600M","-10.133M"
"17-06-2025","21:30","-10.133M","-0.600M","-0.370M"
"10-06-2025","21:30","-0.370M","0.700M","-3.300M"
"03-06-2025","23:00","-3.300M","-0.900M","-4.236M"
"28-05-2025","21:30","-4.236M","1.000M","2.499M"
"20-05-2025","21:30","2.499M","-1.850M","4.287M"
"13-05-2025","21:30","4.287M","-2.400M","-4.490M"
"06-05-2025","21:30","-4.490M","-2.500M","3.760M"
"29-04-2025","21:30","3.760M","0.390M","-4.565M"
"22-04-2025","21:30","-4.565M","","2.400M"
"15-04-2025","21:30","2.400M","-1.680M","-1.057M"
"08-04-2025","21:30","-1.057M","","6.037M"
"01-04-2025","21:30","6.037M","","-4.600M"
"25-03-2025","20:30","-4.600M","-2.500M","4.593M"
"18-03-2025","20:30","4.593M","1.170M","4.247M"
"11-03-2025","20:30","4.247M","2.100M","-1.455M"
"04-03-2025","21:30","-1.455M","-0.300M","-0.640M"
"25-02-2025","21:30","-0.640M","2.300M","3.339M"
"19-02-2025","21:30","3.339M","2.200M","9.043M"
"11-02-2025","21:30","9.043M","2.800M","5.025M"
"04-02-2025","21:30","5.025M","3.170M","2.860M"
"28-01-2025","21:30","2.860M","3.700M","1.000M"
"22-01-2025","21:30","1.000M","","-2.600M"
"14-01-2025","21:30","-2.600M","-3.500M","-4.022M"
"07-01-2025","21:30","-4.022M","-0.250M","-1.442M"
"31-12-2024","21:30","-1.442M","-3.000M","-3.200M"
"24-12-2024","21:30","-3.200M","","-4.700M"
"17-12-2024","21:30","-4.700M","-1.850M","0.499M"
"10-12-2024","21:30","0.499M","-1.300M","1.232M"
"03-12-2024","21:30","1.232M","-2.060M","-5.935M"
"26-11-2024","21:30","-5.935M","0.250M","4.753M"
"19-11-2024","21:30","4.753M","0.800M","-0.777M"
"13-11-2024","21:30","-0.777M","1.000M","3.132M"
"05-11-2024","21:30","3.132M","1.800M","-0.573M"
"29-10-2024","20:30","-0.573M","2.300M","1.643M"
"22-10-2024","21:30","1.643M","0.700M","-1.580M"
"16-10-2024","21:30","-1.580M","3.200M","10.900M"
"08-10-2024","21:30","10.900M","1.950M","-1.458M"
"01-10-2024","21:30","-1.458M","-2.100M","-4.339M"
"24-09-2024","21:30","-4.339M","-1.100M","1.960M"
"17-09-2024","21:30","1.960M","-0.100M","-2.790M"
"10-09-2024","21:30","-2.790M","0.700M","-7.400M"
"04-09-2024","21:30","-7.400M","-0.900M","-3.400M"
"27-08-2024","21:30","-3.400M","-3.000M","0.347M"
"20-08-2024","21:30","0.347M","-2.800M","-5.205M"
"13-08-2024","21:30","-5.205M","-2.000M","0.180M"
"06-08-2024","21:30","0.180M","0.850M","-4.495M"
"30-07-2024","21:30","-4.495M","","-3.900M"
"23-07-2024","21:30","-3.900M","-2.470M","-4.440M"
"16-07-2024","21:30","-4.440M","","-1.923M"
"09-07-2024","21:30","-1.923M","-0.250M","-9.163M"
"02-07-2024","21:30","-9.163M","-0.150M","0.914M"
"25-06-2024","21:30","0.914M","-3.000M","2.264M"
"18-06-2024","21:30","2.264M","","-2.428M"
"11-06-2024","21:30","-2.428M","-1.750M","4.052M"
"04-06-2024","21:30","4.052M","-1.900M","-6.490M"
"29-05-2024","21:30","-6.490M","-1.900M","2.480M"
"21-05-2024","21:30","2.480M","","-3.104M"
"14-05-2024","21:30","-3.104M","-1.350M","0.509M"
"07-05-2024","21:30","0.509M","-1.430M","4.906M"
"30-04-2024","21:30","4.906M","-1.500M","-3.230M"
"23-04-2024","21:30","-3.230M","1.800M","4.090M"
"16-04-2024","21:30","4.090M","","3.034M"
"09-04-2024","21:30","3.034M","2.415M","-2.286M"
"02-04-2024","21:30","-2.286M","-2.000M","9.337M"
"26-03-2024","20:30","9.337M","","-1.519M"
"19-03-2024","20:30","-1.519M","0.077M","-5.521M"
"12-03-2024","20:30","-5.521M","0.400M","0.423M"
"05-03-2024","21:30","0.423M","2.600M","8.428M"
"27-02-2024","21:30","8.428M","","7.168M"
"21-02-2024","21:30","7.168M","4.298M","8.520M"
"13-02-2024","21:30","8.520M","2.600M","0.674M"
"06-02-2024","21:30","0.674M","2.133M","-2.500M"
"30-01-2024","21:30","-2.500M","-0.867M","-6.674M"
"23-01-2024","21:30","-6.674M","-3.000M","0.483M"
"17-01-2024","21:30","0.483M","-2.400M","-5.215M"
"09-01-2024","21:30","-5.215M","-1.200M","-7.418M"
"03-01-2024","21:30","-7.418M","-2.967M","1.837M"
"27-12-2023","21:30","1.837M","","0.939M"
"19-12-2023","21:30","0.939M","-2.233M","-2.349M"
"12-12-2023","21:30","-2.349M","-1.500M","0.594M"
"05-12-2023","21:30","0.594M","-2.267M","-0.817M"
"28-11-2023","21:30","-0.817M","-2.000M","9.047M"
"21-11-2023","21:30","9.047M","1.467M","1.335M"
"14-11-2023","21:30","1.335M","1.400M","11.900M"
"07-11-2023","22:00","11.900M","-0.300M","1.347M"
"31-10-2023","20:30","1.347M","1.601M","-2.668M"
"24-10-2023","21:30","-2.668M","1.550M","-4.383M"
"17-10-2023","21:30","-4.383M","-1.267M","12.940M"
"11-10-2023","21:30","12.940M","1.300M","-4.210M"
"03-10-2023","21:30","-4.210M","-0.092M","1.586M"
"26-09-2023","21:30","1.586M","-1.650M","-5.250M"
"19-09-2023","21:30","-5.250M","-2.667M","1.174M"
"12-09-2023","21:30","1.174M","-2.000M","-5.521M"
"06-09-2023","21:30","-5.521M","-1.429M","-11.486M"
"29-08-2023","21:30","-11.486M","-2.900M","-2.418M"
"22-08-2023","21:30","-2.418M","-2.900M","-6.195M"
"15-08-2023","21:30","-6.195M","-2.050M","4.067M"
"08-08-2023","21:30","4.067M","-0.233M","-15.400M"
"01-08-2023","21:30","-15.400M","-0.900M","1.319M"
"25-07-2023","21:30","1.319M","-1.969M","-0.797M"
"18-07-2023","21:30","-0.797M","-2.250M","3.026M"
"11-07-2023","21:30","3.026M","0.200M","-4.382M"
"05-07-2023","21:30","-4.382M","-1.800M","-2.408M"
"27-06-2023","21:30","-2.408M","-1.467M","-1.246M"
"21-06-2023","21:30","-1.246M","-0.433M","1.024M"
"13-06-2023","21:30","1.024M","-1.291M","-1.710M"
"06-06-2023","21:30","-1.710M","1.500M","5.202M"
"31-05-2023","21:30","5.202M","-1.220M","-6.799M"
"23-05-2023","21:30","-6.799M","0.525M","3.690M"
"16-05-2023","21:30","3.690M","-1.300M","3.618M"
"09-05-2023","21:30","3.618M","-1.600M","-3.939M"
"02-05-2023","21:30","-3.939M","-1.000M","-6.083M"
"25-04-2023","21:30","-6.083M","-1.667M","-2.675M"
"18-04-2023","21:30","-2.675M","-2.464M","0.377M"
"11-04-2023","21:30","0.377M","-1.300M","-4.346M"
"04-04-2023","21:30","-4.346M","-1.800M","-6.076M"
"28-03-2023","21:30","-6.076M","0.187M","3.262M"
"21-03-2023","20:30","3.262M","-1.448M","1.155M"
"14-03-2023","20:30","1.155M","0.555M","-3.835M"
"07-03-2023","21:30","-3.835M","-0.308M","6.203M"
"28-02-2023","21:30","6.203M","0.440M","9.895M"
"22-02-2023","21:30","9.895M","1.233M","10.507M"
"14-02-2023","21:30","10.507M","0.321M","-2.184M"
"07-02-2023","21:30","-2.184M","2.150M","6.330M"
"31-01-2023","21:30","6.330M","-1.000M","3.378M"
"24-01-2023","21:30","3.378M","1.600M","7.615M"
"18-01-2023","21:30","7.615M","-1.750M","14.865M"
"10-01-2023","21:30","14.865M","-2.375M","3.298M"
"04-01-2023","21:30","3.298M","","-1.300M"
"28-12-2022","21:30","-1.300M","","-3.069M"
"20-12-2022","21:30","-3.069M","-0.167M","7.819M"
"13-12-2022","21:30","7.819M","-3.913M","-6.426M"
"06-12-2022","21:30","-6.426M","-3.884M","-7.850M"
"29-11-2022","21:30","-7.850M","-2.487M","-4.819M"
"22-11-2022","21:30","-4.819M","-2.200M","-5.835M"
"15-11-2022","21:30","-5.835M","-0.400M","5.618M"
"08-11-2022","21:30","5.618M","1.100M","-6.530M"
"01-11-2022","20:30","-6.530M","0.267M","4.520M"
"25-10-2022","21:30","4.520M","0.200M","-1.270M"
"18-10-2022","21:30","-1.270M","1.551M","7.054M"
"12-10-2022","21:30","7.054M","","-1.770M"
"04-10-2022","21:30","-1.770M","1.966M","4.150M"
"27-09-2022","21:30","4.150M","0.333M","1.035M"
"20-09-2022","21:30","1.035M","2.321M","6.035M"
"13-09-2022","21:30","6.035M","-0.200M","3.645M"
"07-09-2022","21:30","3.645M","-0.733M","0.593M"
"30-08-2022","21:30","0.593M","-0.633M","-5.632M"
"23-08-2022","21:30","-5.632M","-0.450M","-0.448M"
"16-08-2022","21:30","-0.448M","-0.117M","2.156M"
"09-08-2022","21:30","2.156M","0.073M","2.165M"
"02-08-2022","21:30","2.165M","-0.467M","-4.037M"
"26-07-2022","21:30","-4.037M","-1.121M","1.860M"
"19-07-2022","21:30","1.860M","0.333M","4.762M"
"12-07-2022","21:30","4.762M","-1.933M","3.825M"
"06-07-2022","21:30","3.825M","-1.100M","-3.799M"
"28-06-2022","21:30","-3.799M","-0.110M","5.607M"
"22-06-2022","21:30","5.607M","-1.433M","0.736M"
"14-06-2022","21:30","0.736M","-1.200M","1.845M"
"07-06-2022","21:30","1.845M","-1.800M","-1.181M"
"01-06-2022","21:30","-1.181M","-0.067M","0.567M"
"24-05-2022","21:30","0.567M","-0.690M","-2.445M"
"17-05-2022","21:30","-2.445M","1.533M","1.618M"
"10-05-2022","21:30","1.618M","-0.457M","-3.479M"
"03-05-2022","21:30","-3.479M","-1.167M","4.780M"
"26-04-2022","21:30","4.780M","2.167M","-4.496M"
"19-04-2022","21:30","-4.496M","2.533M","7.757M"
"12-04-2022","21:30","7.757M","1.367M","1.080M"
"05-04-2022","21:30","1.080M","-1.558M","-3.000M"
"29-03-2022","21:30","-3.000M","-1.558M","-4.280M"
"22-03-2022","20:30","-4.280M","0.025M","3.754M"
"15-03-2022","20:30","3.754M","-1.867M","2.811M"
"08-03-2022","21:30","2.811M","-0.833M","-6.100M"
"01-03-2022","21:30","-6.100M","2.796M","5.983M"
"23-02-2022","21:30","5.983M","0.767M","-1.076M"
"15-02-2022","21:30","-1.076M","-1.769M","-2.025M"
"08-02-2022","21:30","-2.025M","0.675M","-1.645M"
"01-02-2022","21:30","-1.645M","1.833M","-0.872M"
"25-01-2022","21:30","-0.872M","-0.400M","1.404M"
"19-01-2022","21:30","1.404M","-1.367M","-1.077M"
"11-01-2022","21:30","-1.077M","-1.950M","-6.432M"
"04-01-2022","21:30","-6.432M","-3.400M","-3.090M"
"28-12-2021","21:30","-3.090M","-3.233M","-3.670M"
"21-12-2021","21:30","-3.670M","-2.633M","-0.815M"
"14-12-2021","21:30","-0.815M","-2.600M","-3.089M"
"07-12-2021","21:30","-3.089M","2.093M","-0.747M"
"30-11-2021","21:30","-0.747M","-1.667M","2.307M"
"23-11-2021","21:30","2.307M","-0.950M","0.655M"
"16-11-2021","21:30","0.655M","1.550M","-2.485M"
"09-11-2021","21:30","-2.485M","1.900M","3.594M"
"02-11-2021","20:30","3.594M","1.567M","2.318M"
"26-10-2021","21:30","2.318M","1.650M","3.294M"
"19-10-2021","21:30","3.294M","2.233M","5.213M"
"13-10-2021","21:30","5.213M","0.140M","0.951M"
"05-10-2021","21:30","0.951M","-0.300M","4.127M"
"28-09-2021","21:30","4.127M","-2.333M","-6.108M"
"21-09-2021","21:30","-6.108M","-2.400M","-5.437M"
"14-09-2021","21:30","-5.437M","-3.903M","-2.882M"
"08-09-2021","21:30","-2.882M","-3.832M","-4.045M"
"31-08-2021","21:30","-4.045M","-2.833M","-1.622M"
"24-08-2021","21:30","-1.622M","-2.367M","-1.163M"
"17-08-2021","21:30","-1.163M","-1.259M","-0.816M"
"10-08-2021","21:30","-0.816M","-1.050M","-0.879M"
"03-08-2021","21:30","-0.879M","-2.900M","-4.728M"
"27-07-2021","21:30","-4.728M","-3.433M","0.806M"
"20-07-2021","21:30","0.806M","-4.167M","-4.079M"
"13-07-2021","21:30","-4.079M","-4.333M","-7.983M"
"07-07-2021","21:30","-7.983M","-3.925M","-8.153M"
"29-06-2021","21:30","-8.153M","-4.460M","-7.199M"
"22-06-2021","21:30","-7.199M","-3.625M","-8.537M"
"15-06-2021","21:30","-8.537M","-3.000M","-2.108M"
"08-06-2021","21:30","-2.108M","-3.576M","-5.360M"
"02-06-2021","21:30","-5.360M","-2.114M","-0.439M"
"25-05-2021","21:30","-0.439M","-1.279M","0.620M"
"18-05-2021","21:30","0.620M","1.680M","-2.533M"
"11-05-2021","21:30","-2.533M","-2.250M","-7.688M"
"04-05-2021","21:30","-7.688M","-2.191M","4.319M"
"27-04-2021","21:30","4.319M","0.375M","0.436M"
"20-04-2021","21:30","0.436M","-2.860M","-3.608M"
"13-04-2021","21:30","-3.608M","-2.154M","-2.618M"
"06-04-2021","21:30","-2.618M","-1.325M","3.910M"
"30-03-2021","21:30","3.910M","0.400M","2.927M"
"23-03-2021","20:30","2.927M","-0.900M","-1.000M"
"16-03-2021","20:30","-1.000M","2.715M","12.792M"
"09-03-2021","21:30","12.792M","-0.833M","7.356M"
"02-03-2021","21:30","7.356M","-1.850M","1.026M"
"23-02-2021","21:30","1.026M","-5.372M","-5.800M"
"17-02-2021","21:30","-5.800M","-2.175M","-3.500M"
"09-02-2021","21:30","-3.500M","1.340M","-4.261M"
"02-02-2021","21:30","-4.261M","0.367M","-5.272M"
"26-01-2021","21:30","-5.272M","0.603M","2.562M"
"20-01-2021","21:30","2.562M","-0.300M","-5.821M"
"12-01-2021","21:30","-5.821M","-2.700M","-1.663M"
"05-01-2021","21:30","-1.663M","-1.500M","-4.785M"
"29-12-2020","21:30","-4.785M","-2.100M","2.700M"
"22-12-2020","21:30","2.700M","-3.250M","1.973M"
"15-12-2020","21:30","1.973M","-3.500M","1.141M"
"08-12-2020","21:30","1.141M","-1.514M","4.146M"
"01-12-2020","21:30","4.146M","-2.272M","3.800M"
"24-11-2020","21:30","3.800M","-0.333M","4.174M"
"17-11-2020","21:30","4.174M","1.950M","-5.147M"
"10-11-2020","21:30","-5.147M","-0.900M","-8.010M"
"03-11-2020","21:30","-8.010M","-0.600M","4.577M"
"27-10-2020","20:30","4.577M","1.200M","0.584M"
"20-10-2020","21:30","0.584M","-1.900M","-5.422M"
"14-10-2020","21:30","-5.422M","-2.300M","0.951M"
"06-10-2020","21:30","0.951M","0.400M","-0.831M"
"29-09-2020","21:30","-0.831M","1.400M","0.691M"
"22-09-2020","21:30","0.691M","-4.000M","-9.517M"
"15-09-2020","21:30","-9.517M","2.049M","2.970M"
"09-09-2020","21:30","2.970M","","-6.360M"
"01-09-2020","21:30","-6.360M","-1.950M","-4.524M"
"25-08-2020","21:30","-4.524M","-4.300M","-4.264M"
"18-08-2020","21:30","-4.264M","-2.900M","-4.400M"
"11-08-2020","21:30","-4.400M","-3.200M","-8.587M"
"04-08-2020","21:30","-8.587M","-3.300M","-6.829M"
"28-07-2020","21:30","-6.829M","-1.200M","7.544M"
"21-07-2020","21:30","7.544M","-1.900M","-8.322M"
"14-07-2020","21:30","-8.322M","-2.100M","2.000M"
"07-07-2020","21:30","2.000M","-3.700M","-8.156M"
"30-06-2020","21:30","-8.156M","-2.700M","1.749M"
"23-06-2020","21:30","1.749M","0.300M","3.900M"
"16-06-2020","21:30","3.900M","","8.400M"
"09-06-2020","21:30","8.400M","","-0.500M"
"02-06-2020","21:30","-0.500M","","8.700M"
"27-05-2020","21:30","8.700M","","-4.800M"
"19-05-2020","21:30","-4.800M","2.400M","7.580M"
"12-05-2020","21:30","7.580M","5.000M","8.400M"
"05-05-2020","21:30","8.400M","","10.000M"
"28-04-2020","21:30","10.000M","","13.226M"
"21-04-2020","21:30","13.226M","","13.143M"
"14-04-2020","21:30","13.143M","","11.938M"
"07-04-2020","21:30","11.938M","9.300M","10.485M"
"31-03-2020","21:30","10.485M","","-1.250M"
"24-03-2020","20:30","-1.250M","","-0.421M"
"17-03-2020","20:30","-0.421M","","6.407M"
"10-03-2020","20:30","6.407M","","1.690M"
"03-03-2020","21:30","1.690M","","1.300M"
"25-02-2020","21:30","1.300M","","4.200M"
"19-02-2020","21:30","4.200M","","6.000M"
"11-02-2020","21:30","6.000M","","4.180M"
"04-02-2020","21:30","4.180M","","-4.270M"
"29-01-2020","21:30","-4.267M","","1.600M"
"22-01-2020","21:30","1.600M","","1.100M"
"14-01-2020","21:30","1.100M","","-5.945M"
"07-01-2020","21:30","-5.945M","","-7.800M"
"24-12-2019","21:30","-7.900M","","4.700M"
"17-12-2019","21:30","4.700M","","1.410M"
"10-12-2019","21:30","1.410M","","-3.720M"
"03-12-2019","21:30","-3.720M","","3.639M"
"26-11-2019","21:30","3.639M","","5.954M"
"19-11-2019","21:30","5.954M","","-0.500M"
"13-11-2019","21:30","-0.500M","","4.260M"
"05-11-2019","21:30","4.260M","","-0.708M"
"29-10-2019","20:30","-0.708M","","4.450M"
"22-10-2019","21:30","4.450M","","10.500M"
"16-10-2019","21:30","10.500M","","4.100M"
"08-10-2019","21:30","4.100M","","-5.920M"
"01-10-2019","21:30","-5.920M","","1.400M"
"24-09-2019","21:30","1.400M","","0.592M"
"17-09-2019","21:30","0.592M","","-7.200M"
"10-09-2019","21:30","-7.200M","","0.401M"
"04-09-2019","21:30","0.401M","","-11.100M"
"27-08-2019","21:30","-11.100M","","-3.500M"
"20-08-2019","21:30","-3.500M","","3.700M"
"13-08-2019","21:30","-2.190M","","-3.400M"
"06-08-2019","21:30","-3.400M","","-6.024M"
"30-07-2019","21:30","-6.024M","","-10.961M"
"23-07-2019","21:30","-10.961M","","-1.401M"
"16-07-2019","21:30","-1.401M","","-8.129M"
"09-07-2019","21:30","-8.129M","","-5.000M"
"02-07-2019","21:30","-5.000M","","-7.550M"
"25-06-2019","21:30","-7.550M","","-0.812M"
"18-06-2019","21:30","-0.812M","","4.850M"
"11-06-2019","21:30","4.850M","","3.545M"
"04-06-2019","21:30","3.545M","","-5.265M"
"30-05-2019","21:30","-5.265M","","2.400M"
"21-05-2019","21:30","2.400M","-0.600M","8.600M"
"14-05-2019","21:30","8.600M","","2.806M"
"07-05-2019","21:30","2.806M","","6.810M"
"30-04-2019","21:30","6.810M","","6.900M"
"23-04-2019","21:30","6.900M","","-3.096M"
"16-04-2019","21:30","-3.096M","","4.091M"
"09-04-2019","21:30","4.091M","","2.963M"
"02-04-2019","21:30","2.963M","","1.930M"
"26-03-2019","20:30","1.930M","","-2.133M"
"19-03-2019","20:30","-2.133M","","-2.580M"
"12-03-2019","20:30","-2.580M","","7.290M"
"05-03-2019","21:30","7.290M","","-4.200M"
"26-02-2019","21:30","-4.200M","","1.260M"
"20-02-2019","21:30","1.260M","","-0.998M"
"12-02-2019","21:30","-0.998M","","2.514M"
"05-02-2019","21:30","2.514M","","2.098M"
"29-01-2019","21:30","2.098M","","6.550M"
"23-01-2019","21:30","6.550M","","-0.560M"
"15-01-2019","21:30","-0.560M","","-6.270M"
"08-01-2019","21:30","-6.270M","","-4.500M"